miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.304500	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.827002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.522502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	183	55.723572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7762	2363.532058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12525	3813.867435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18572	5655.181318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	287	87.391613	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.218002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.609001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.913501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.609001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.304500	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.304500	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	2.740504	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	2.740504	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.913501	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	2.131503	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.827002	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.609001	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.609001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	260	79.170102	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.913501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.913501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	18308	5574.793214	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.913501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.913501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12301	3745.659347	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.218002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7780	2369.013066	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.609001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	149	45.370559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.913501	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.609001	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	45	13.702518	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	58	17.661023	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	6.090008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	173	52.678568	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7692	2342.217031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	12366	3765.451872	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	18692	5691.721365	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	252	76.734099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.304500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.218002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.522502	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.304500	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.304500	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.740504	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	2.131503	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	1.218002	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.304500	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.304500	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	17	5.176507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	30	9.135012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1548	471.366610	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	28032	8535.755045	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9982	3039.522933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17871	5441.726542	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1960	596.820772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.304500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	1.522502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.913501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.304500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.827002	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.218002	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.304500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.304500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.609001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.609001	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	27	8.221511	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	50	15.225020	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.304500	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.304500	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	1.218002	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	18	5.481007	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	83	25.273533	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	51	15.529520	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	25	7.612510	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	719	218.935783	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3610	1099.246422	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2098	638.841827	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5878	1789.853316	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	172	52.374068	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.609001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	2	0.609001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.913501	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.304500	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.304500	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539882-16539904:+	1	0.304500	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	7	2.131503	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	3.045004	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	11	3.349504	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.304500	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	4	1.218002	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	176	53.592069	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	148	45.066058	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	324	98.658128	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	12	3.654005	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	1.522502	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.304500	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	84	25.578033	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	125	38.062549	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	210	63.945083	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	0.913501	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	6	1.827002	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	15	4.567506	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.609001	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	7	2.131503	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	223	67.903588	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	722	219.849284	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1591	484.460127	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	48	14.616019	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	6	1.827002	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.304500	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.304500	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	1	0.304500	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.304500	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	0.913501	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	4	1.218002	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176352-94176374:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	8	2.436003	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	17	5.176507	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	52	15.834020	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1970	599.865776	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	5283	1608.675582	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	11781	3587.319142	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	52	15.834020	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	30	9.135012	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	9	2.740504	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.304500	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176428:+	2	0.609001	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	4	1.218002	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	7	2.131503	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.304500	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	2	0.609001	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	174	52.983069	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	11575	3524.592061	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	2	0.609001	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	5406	1646.129130	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	6	1.827002	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	1995	607.478286	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.304500	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	70	21.315028	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	8	2.436003	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	9	2.740504	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.304500	N	precursor
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	0.609001	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	158	48.111062	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.304500	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	14	4.263006	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268355:-	1	0.304500	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	37	11.266515	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	1	0.304500	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1533	466.799104	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	11	3.349504	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	1	0.304500	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	730	222.285288	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	13	3.958505	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	140	42.630055	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	8	2.436003	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	23	7.003509	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268359:-	2	0.609001	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	7	2.131503	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603670-62603691:+	1	0.304500	N	precursor
hsa-let-7i	hg38:chr12:62603673-62603691:+	2	0.609001	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.304500	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	22	6.699009	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	254	77.343100	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	100	30.450039	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	287	87.391613	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603714:+	1	0.304500	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	1	0.304500	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	2	0.609001	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603766:+	3	0.913501	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	145	44.152557	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	55	16.747522	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	46	14.007018	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603770:+	1	0.304500	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554370:+	1	0.304500	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554371:+	3	0.913501	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554372:+	1	0.304500	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	27	8.221511	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	21	6.394508	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829016-21829037:-	2	0.609001	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829017-21829037:-	2	0.609001	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829018-21829037:-	1	0.304500	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152240-122152262:-	2	0.609001	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152297:-	4	1.218002	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	11	3.349504	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	11	3.349504	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	2944	896.449160	N	mature,MIMAT0000098
