miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.283687	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.283687	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.851062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.836872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	86	24.397101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2848	807.941200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8179	2320.277764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16595	4707.789399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	398	112.907513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.553185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.283687	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.702123	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	26	7.375868	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	2.553185	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.283687	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.283687	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.283687	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.851062	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.283687	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.567374	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.985811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	425	120.567068	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16639	4720.271636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.567374	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8313	2358.291851	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2934	832.338300	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	80	22.694978	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	8	2.269498	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.283687	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.283687	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	18	5.106370	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	32	9.077991	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	14	3.971621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	88	24.964475	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3022	857.302776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8151	2312.334522	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16217	4600.555630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	437	123.971315	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.851062	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.567374	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.283687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.283687	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	2.836872	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	25	7.092180	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	2.836872	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.567374	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112805-46112822:+	1	0.283687	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.567374	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	8	2.269498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	275	78.013985	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	5573	1580.988871	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2411	683.969885	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6366	1805.952836	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1263	358.296958	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.283687	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.283687	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.283687	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.283687	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.567374	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	21	5.957432	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	63	17.872295	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.567374	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	1.134749	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	32	9.077991	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	43	12.198550	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	35	9.929053	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.283687	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	213	60.425378	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1102	312.623315	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1153	327.091363	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5108	1449.074314	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	230	65.248060	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	0.851062	N	mature,MIMAT0000064
