miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.469279	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.407837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.938558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	17	7.977745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	688	322.864029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1161	544.833049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4293	2014.615229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	227	106.526358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	30	14.078373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.469279	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.815675	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	4.692791	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	2.815675	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.469279	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.938558	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.407837	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.407837	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.877116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	253	118.727615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4411	2069.990164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1126	528.408280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	702	329.433937	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	17	7.977745	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.469279	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	11	5.162070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	22	10.324140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	12.670536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	12	5.631349	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	659	309.254935	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1115	523.246210	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4396	2062.950977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	261	122.481848	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.938558	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.938558	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.938558	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.469279	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.407837	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	8	3.754233	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	2.346396	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.469279	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.469279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.469279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	78	36.603771	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1550	727.382624	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	563	264.204140	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2368	1111.252938	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1069	501.659371	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.469279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.469279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.938558	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.469279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	2.346396	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	20	9.385582	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.938558	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	5	2.346396	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	3.284954	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	7	3.284954	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.938558	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	14	6.569908	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	72	33.788096	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	75	35.195933	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	575	269.835490	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	71	33.318817	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	1.877116	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	1	0.469279	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	18	8.447024	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.469279	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	19	8.916303	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	53	24.871793	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	301	141.253013	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	56	26.279630	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.938558	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.469279	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	1.407837	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	35	16.424769	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	152	71.330425	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	634	297.522957	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.407837	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.469279	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	2	0.938558	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	21	9.854861	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.469279	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.469279	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	1	0.469279	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	27	12.670536	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	126	59.129168	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	562	263.734861	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	22	10.324140	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	2	0.938558	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.469279	N	mature,MIMAT0000066
