miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.270482	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.081927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	2.704818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	2.163854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	205	55.448760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4900	1325.360613	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11714	3168.423310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22517	6090.437740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	570	154.174602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	22	5.950599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.352409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	2.434336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.270482	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176031:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.081927	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	20	5.409635	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	4.598190	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.540964	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	2.163854	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.270482	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.540964	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.434336	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	537	145.248704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	3.786745	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	2.704818	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22327	6039.046206	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	1.352409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11566	3128.392010	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5022	1358.359387	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	201	54.366833	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.811445	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.270482	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	6	1.622891	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	91	24.613840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	164	44.359008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	76	20.556614	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	196	53.014425	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4940	1336.179883	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11542	3121.900448	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22562	6102.609419	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	539	145.789667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	1.622891	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.811445	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	2.163854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.352409	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	3.245781	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.540964	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.811445	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.270482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	3.245781	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	16	4.327708	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	3.786745	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.540964	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.540964	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.270482	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	34	9.196380	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	77	20.827095	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2124	574.503253	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	30064	8131.763565	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10039	2715.366366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17893	4839.730092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3380	914.228341	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	1.622891	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	3	0.811445	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	2.163854	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	0.811445	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	13	3.516263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.081927	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.270482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	8	2.163854	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	5	1.352409	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.270482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.270482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.270482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.540964	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.270482	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	4.327708	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	54	14.606015	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.270482	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.540964	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.270482	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.811445	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	1.081927	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	13	3.516263	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	10	2.704818	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	3	0.811445	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.270482	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	103	27.859621	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	407	110.086075	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	402	108.733667	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1448	391.657585	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	48	12.983124	N	mature,MIMAT0000064
