miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.308918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.745224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	46	20.070079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1858	810.656689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2934	1280.122026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8997	3925.445763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	362	157.942799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	6.980897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	2.181530	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.436306	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176032:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	8.726122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	56	24.433140	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	11.780264	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	6.980897	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	3.926755	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	1.308918	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	6.544591	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	335	146.162535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	3.054143	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9014	3932.862966	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.745224	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3085	1346.004244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1799	784.914630	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	51	22.251610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.436306	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	1	0.436306	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	4	1.745224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	8	3.490449	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	11	4.799367	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	41	17.888549	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1845	804.984710	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3120	1361.274956	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9071	3957.732413	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	365	159.251718	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.308918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	1.308918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.308918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.872612	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.436306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112798-46112820:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.436306	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	18	7.853509	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	42	18.324855	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	4.363061	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.872612	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	1.745224	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	2.181530	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	314	137.000108	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6804	2968.626539	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2206	962.491203	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8673	3784.082594	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3111	1357.348201	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.436306	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.872612	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.872612	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	3.054143	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	2.181530	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.436306	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.436306	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.436306	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	6.544591	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	41	17.888549	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.872612	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.436306	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	3.490449	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	32	13.961794	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	34	14.834407	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	61	26.614671	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.436306	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	293	127.837680	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1006	438.923912	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	839	366.060798	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4501	1963.813647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	396	172.777206	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	3.054143	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.436306	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.436306	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.872612	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.436306	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539899:+	1	0.436306	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539902:+	1	0.436306	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.436306	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	2	0.872612	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	5	2.181530	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	27	11.780264	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	70	30.541425	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	1.308918	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.436306	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.436306	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	28	12.216570	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	61	26.614671	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	230	100.350397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	28	12.216570	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.436306	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	70	30.541425	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	196	85.515991	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	555	242.149872	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	1.745224	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.436306	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	1.308918	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	19	8.289815	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	0.872612	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692812:+	2	0.872612	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	68	29.668813	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	198	86.388603	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	898	391.802856	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	33	14.398100	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	4	1.745224	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.436306	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.436306	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692821:+	2	0.872612	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.436306	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	11	4.799367	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	27	11.780264	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.436306	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.436306	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	1	0.436306	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	2	0.872612	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	5	2.181530	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	379	165.360003	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1200	523.567291	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	3974	1733.880345	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	26	11.343958	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	3	1.308918	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	2	0.872612	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176376:+	1	0.436306	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.436306	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.436306	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.436306	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	22	9.598734	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	10	4.363061	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	3	1.308918	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176406-94176428:+	1	0.436306	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	2	0.872612	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	2.181530	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176410-94176429:+	1	0.436306	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	1.308918	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	7	3.054143	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	226	98.605173	N	mature,MIMAT0000067
