miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.228479	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.228479	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.228479	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.456959	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.142397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	0.685438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	146	33.357986	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3128	714.683432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5796	1324.266358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11232	2566.280148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	448	102.358752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	4.569587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.370876	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.599356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.456959	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.370876	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	5.255025	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.685438	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176032:+	1	0.228479	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.228479	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	1.599356	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.228479	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	2.284794	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	454	103.729628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	1.370876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	1.599356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.827835	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11230	2565.823189	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.685438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.456959	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5931	1355.111072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3056	698.232918	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.685438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	119	27.189044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.228479	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	2.741752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	17	3.884149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	4	0.913917	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	117	26.732085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3134	716.054308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5732	1309.643680	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11469	2620.429756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	417	95.275892	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.456959	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.599356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.913917	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	1.370876	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.228479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.456959	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.456959	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.142397	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	26	5.940463	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	0.913917	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.456959	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.685438	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	1.599356	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	15	3.427190	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	423	96.646768	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	5706	1303.703216	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2141	489.174305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	4597	1050.319608	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	974	222.538895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.228479	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.456959	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	1.142397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.685438	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.228479	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.228479	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.228479	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.456959	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	9	2.056314	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	34	7.768298	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.456959	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.228479	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	1.599356	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	10	2.284794	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	0.913917	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	66	15.079638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	276	63.060303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	309	70.600122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1134	259.095592	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	85	19.420745	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.228479	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	1	0.228479	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	2	0.456959	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.456959	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.456959	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	78	17.821390	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	187	42.725640	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	443	101.216356	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	44	10.053092	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.228479	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.228479	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	14	3.198711	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.456959	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	1	0.228479	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.228479	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	1.142397	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	61	13.937241	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	344	78.596899	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	808	184.611321	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	5	1.142397	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	19	4.341108	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	69	15.765076	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	3	0.685438	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.228479	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178899-94178916:+	1	0.228479	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.228479	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	5	1.142397	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	0.913917	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	86	19.649225	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	235	53.692649	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	543	124.064291	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	14	3.198711	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692815-51692836:+	1	0.228479	N	stemloop
hsa-let-7e	hg38:chr19:51692838-51692859:+	6	1.370876	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	7	1.599356	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	9	2.056314	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	17	3.884149	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	68	15.536596	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	38	8.682216	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	765	174.786709	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2627	600.215273	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	7283	1664.015164	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	40	9.139174	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	4	0.913917	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	3	0.685438	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	3	0.685438	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.456959	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	6	1.370876	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	2	0.456959	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.228479	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.228479	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	11	2.513273	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.228479	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.228479	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	324	74.027312	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.456959	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	7	1.599356	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	7370	1683.892868	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	5	1.142397	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557264:-	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2532	578.509734	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	7	1.599356	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	763	174.329750	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	33	7.539819	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	49	11.195489	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	10	2.284794	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	2	0.456959	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557253-53557268:-	1	0.228479	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.228479	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.228479	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.228479	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	9	2.056314	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	120	27.417523	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	3	0.685438	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	81	18.506828	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	2	0.456959	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.228479	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	6	1.370876	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	2	0.456959	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1712	391.156661	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	18	4.112628	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	1	0.228479	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268356:-	1	0.228479	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	361	82.481048	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	4	0.913917	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	51	11.652447	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	3	0.685438	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	16	3.655670	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268359:-	1	0.228479	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	19	4.341108	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268359:-	1	0.228479	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603669-62603691:+	2	0.456959	N	precursor
hsa-let-7i	hg38:chr12:62603670-62603691:+	1	0.228479	N	precursor
hsa-let-7i	hg38:chr12:62603672-62603691:+	1	0.228479	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603708:+	1	0.228479	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603710:+	4	0.913917	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	13	2.970232	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	278	63.517262	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	324	74.027312	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	333	76.083626	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.228479	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	2	0.456959	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603712:+	1	0.228479	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603697-62603713:+	1	0.228479	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603713-62603742:+	1	0.228479	N	stemloop
hsa-let-7i	hg38:chr12:62603747-62603764:+	1	0.228479	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603766:+	4	0.913917	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	51	11.652447	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	61	13.937241	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	61	13.937241	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603748-62603768:+	2	0.456959	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554371:+	1	0.228479	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	3	0.685438	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	2	0.456959	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829016-21829037:-	1	0.228479	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152293:-	2	0.456959	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152273-122152297:-	5	1.142397	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	8	1.827835	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	5	1.142397	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	9	2.056314	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	1352	308.904092	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152293:-	1	0.228479	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152294:-	1	0.228479	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	4	0.913917	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	44	10.053092	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	6299	1439.191476	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152296:-	2	0.456959	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	112	25.589688	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	35	7.996778	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152296:-	1	0.228479	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	12	2.741752	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058441-65058459:-	2	0.456959	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058461:-	1	0.228479	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058462:-	5	1.142397	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	2371	541.724558	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	3	0.685438	N	mature,MIMAT0000099
