miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	1.356651	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.678325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	2.034976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	9	6.104927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	572	388.002054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1895	1285.426385	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	7905	5362.161253	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	268	181.791172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	8.139903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	1.356651	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.356651	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	3.391626	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	4.069952	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.678325	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	1.356651	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	2.034976	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	5.426602	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	269	182.469497	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.678325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.678325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	7879	5344.524796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.356651	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1886	1279.321458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.678325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	631	428.023245	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	14	9.496554	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	19	12.888180	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	27	18.314782	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	19.671433	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	12	8.139903	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	619	419.883342	N	mature,MIMAT0000062
