miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.345359	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.690717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.726794	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	2.072152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	70	24.175111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3538	1221.879166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6478	2237.233815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12445	4297.989322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	504	174.060797	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	18	6.216457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.690717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	2.762870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.345359	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	2.072152	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.036076	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.345359	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	3.453587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	453	156.447502	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.381435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12308	4250.675176	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.690717	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6559	2265.207871	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3585	1238.111026	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.690717	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	81	27.974057	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	1.726794	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	25	8.633968	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	26	8.979327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	5.180381	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	72	24.865828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3583	1237.420308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6559	2265.207871	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12436	4294.881093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	507	175.096873	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.690717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.690717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.036076	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	2.417511	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.345359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.345359	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	6	2.072152	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	0.690717	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.345359	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.036076	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	2.072152	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	271	93.592214	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4303	1486.078590	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1927	665.506261	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	4795	1655.995082	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1680	580.202656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.345359	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.345359	N	mature,MIMAT0000063
