miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.340584	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	1.021752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.362336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	79	26.906138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2325	791.857862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9035	3077.176681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20223	6887.630771	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1055	359.316148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	41	13.963945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.021752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175986:+	1	0.340584	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.340584	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.043504	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	5.789928	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	2.724672	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.340584	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.681168	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.340584	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.340584	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	5.789928	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.362336	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.340584	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	3.065256	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1065	362.721988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.340584	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20300	6913.855742	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9141	3113.278588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.340584	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2390	813.995824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	92	31.333730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.681168	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.681168	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.340584	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	4.087008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	23	7.833433	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	5	1.702920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	89	30.311978	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2413	821.829256	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9271	3157.554511	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	20597	7015.009197	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1082	368.511917	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.681168	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	3.065256	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	4.427592	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	15	5.108760	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112819:+	1	0.340584	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.340584	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.340584	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.021752	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	4.427592	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	230	78.334326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3852	1311.929671	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1343	457.404348	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3968	1351.437418	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1447	492.825087	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.681168	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.340584	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.681168	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	1.362336	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	18	6.130512	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.340584	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	1.362336	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	41	13.963945	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	46	15.666865	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	23	7.833433	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	278	94.682359	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1421	483.969902	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1183	402.910904	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7749	2639.185623	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	866	294.945767	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	1.702920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	1.021752	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539901:+	1	0.340584	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539880-16539903:+	1	0.340584	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.340584	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	15	5.108760	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	61	20.775626	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	4	1.362336	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.340584	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	25	8.514601	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	55	18.732121	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	143	48.703516	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	25	8.514601	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	15	5.108760	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	96	32.696067	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	514	175.060190	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	1.362336	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	1.021752	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	37	12.601609	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	1	0.340584	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	8	2.724672	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	156	53.131108	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	477	162.458581	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1000	340.584027	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	28	9.536353	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	3	1.021752	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.681168	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	6	2.043504	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692858:+	1	0.340584	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	2	0.681168	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.340584	N	mature,MIMAT0000067
