miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	7	1.549808	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.442802	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	2	0.442802	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.221401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.442802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.214012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	71	15.719483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2723	602.875381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4825	1068.260637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12060	2670.098090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	184	40.737815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.885605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.221401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.221401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.221401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.221401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.992611	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	2.656814	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	3.985221	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.221401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.221401	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.664204	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.221401	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.664204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	209	46.272844	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.221401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.664204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12077	2673.861909	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.664204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4804	1063.611212	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.442802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2632	582.727875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.664204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	94	20.811710	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.221401	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.885605	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.221401	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	4	0.885605	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.221401	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.885605	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	36	7.970442	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	50	11.070058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	41	9.077448	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	92	20.368907	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2631	582.506474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4722	1045.456317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12221	2705.743678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	205	45.387239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.442802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.442802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.442802	N	mature,MIMAT0000062
