miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	2.721390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	20	9.071299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	568	257.624880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2357	1069.052539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9906	4493.014193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	693	314.320496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	49	22.224682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.907130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.453565	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.267825	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	4.082084	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	3.174955	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.453565	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.453565	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	4.082084	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.907130	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.453565	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	29	13.153383	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	664	301.167113	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.907130	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9896	4488.478544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	4.082084	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2314	1049.549247	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	654	296.631464	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	10	4.535649	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.453565	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	4	1.814260	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	10	4.535649	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	8	3.628519	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	12	5.442779	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	580	263.067659	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2363	1071.773929	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10101	4581.459354	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	678	307.517022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.814260	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.907130	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.453565	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.453565	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	5.896344	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	2.721390	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	2	0.907130	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113667-46113691:+	1	0.453565	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113709:+	3	1.360695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	39	17.689032	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1257	570.131117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	536	243.110802	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2467	1118.944681	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1303	590.995103	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.907130	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.453565	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	2	0.907130	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	24	10.885558	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.453565	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.453565	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	1	0.453565	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	8	3.628519	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	23	10.431993	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	13	5.896344	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	79	35.831629	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	95	43.088668	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	883	400.497833	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	115	52.159967	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.453565	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.453565	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.907130	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	12	5.442779	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.453565	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	15	6.803474	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	30	13.606948	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	186	84.363077	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	37	16.781902	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.907130	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.453565	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	21	9.524864	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	94	42.635103	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	355	161.015550	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	2.267825	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.453565	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	1.360695	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	8	3.628519	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.907130	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	1.814260	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	26	11.792688	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	142	64.406220	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	531	240.842978	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	28	12.699818	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	5	2.267825	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	3	1.360695	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	2	0.907130	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	7	3.174955	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	1	0.453565	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	3	1.360695	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	8	3.628519	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	192	87.084466	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1373	622.744648	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	8261	3746.899884	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	48	21.771117	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	6	2.721390	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.453565	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176376:+	1	0.453565	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.453565	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.453565	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176392-94176415:+	1	0.453565	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	1.814260	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.453565	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	3	1.360695	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	595	269.871133	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.453565	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	8212	3724.675202	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	7	3.174955	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	1379	625.466038	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	3	1.360695	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	207	93.887940	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	3	1.360695	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	6	2.721390	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	1.360695	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268280-52268301:-	20	9.071299	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	112	50.799272	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1149	521.146104	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	9	4.082084	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	1	0.453565	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	133	60.324136	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	3	1.360695	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	10	4.535649	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	1	0.453565	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	1	0.453565	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603669-62603691:+	1	0.453565	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603711:+	2	0.907130	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	49	22.224682	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	47	21.317552	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	197	89.352291	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	4	1.814260	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	13	5.896344	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	20	9.071299	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603770:+	2	0.907130	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	2	0.907130	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	2	0.907130	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152297:-	12	5.442779	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	27	12.246253	N	mature,MIMAT0000098
