miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.187814	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.939072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.878144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.502515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	358	67.237547	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13258	2490.043021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	24960	4687.846870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35009	6575.193552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	726	136.353238	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	22	4.131916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.314701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	2.065958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.751258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	1.126886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.751258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.187814	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	3.756288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	4.319731	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	0.375629	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	1.878144	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.502515	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	7	1.314701	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.375629	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	1	0.187814	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	2	0.375629	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146547:-	1	0.187814	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146548:-	2	0.375629	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146549:-	1	0.187814	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.751258	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	835	156.825005	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.375629	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	1.314701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.690329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	35492	6665.907897	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	10	1.878144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.375629	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	24907	4677.892708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.126886	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.563443	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13320	2501.687512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	0.939072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	363	68.176619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.563443	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	3	0.563443	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	14	2.629401	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	5	0.939072	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	0.939072	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	46	8.639461	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	8.639461	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	13	2.441587	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	322	60.476230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	13420	2520.468950	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	24673	4633.944143	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	35025	6578.198582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	760	142.738927	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	0.939072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.375629	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	10	1.878144	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.375629	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.375629	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.187814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	23	4.319731	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	17	3.192844	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	0.939072	N	mature,MIMAT0004481
