miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.158477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	4.923527	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.579239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175986:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	64	18.535633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2194	635.424664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7795	2257.582160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28339	8207.520312	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2282	660.911160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	211	61.109665	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.579239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.579239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.289619	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.289619	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.316954	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	29	8.398959	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	38	11.005532	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.868858	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.289619	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.579239	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.896193	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.579239	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	31	8.978197	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2285	661.780017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.868858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.868858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	28292	8193.908206	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7698	2229.489091	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2181	631.659614	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	56	16.218679	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.289619	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.579239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	5.792385	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	61	17.666775	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	48	13.901725	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	4	1.158477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	61	17.666775	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2296	664.965829	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7868	2278.724366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	28275	8188.984679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2221	643.244384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.579239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.579239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	1.737716	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.289619	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.579239	N	mature,MIMAT0000062
