miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.880862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.174482	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	533	156.499761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9138	2683.104720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17412	5112.521273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26986	7923.644559	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	867	254.569030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	41	12.038443	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	1.761723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	16	4.697929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	48	14.093787	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	1.174482	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	22	6.459652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	60	17.617234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	1.174482	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	2.055344	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	50	14.681028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	8	2.348965	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	1.468103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.293621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.880862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.293621	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	17	4.991550	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	35	10.276720	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	14	4.110688	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.293621	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.293621	N	mature,MIMAT0004481
