miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.170673	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.853364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	3.242782	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	3.072109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.341345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	216	36.865309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6237	1064.485788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	18899	3225.543836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	46531	7941.572582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	4479	764.443137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	343	58.540745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	3	0.512018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.170673	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.341345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.024036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.170673	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.853364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	1.877400	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.341345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	1.536055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.170673	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.170673	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.365382	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	2.901436	N	mature,MIMAT0004481
