miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.391496	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.782992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.565983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.131966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	194	37.975090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8952	1752.335077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16037	3139.208850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26959	5277.167262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1217	238.225177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	76	14.876839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	0.978739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	1.565983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.195748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.195748	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	22	4.306453	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	52	10.178890	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	4.306453	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.195748	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.195748	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.391496	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.195748	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	2.740470	N	mature,MIMAT0010195
