miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.849117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.132155	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	2.264311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	37	10.472437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1470	416.067096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3731	1056.017915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13411	3795.833895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	891	252.187607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	88	24.907418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	3	0.849117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.849117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.566078	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.283039	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176009-94176033:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.415194	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	5.943816	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	5.943816	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.566078	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.283039	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	26	7.359010	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.132155	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.283039	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.283039	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	30	8.491165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	922	260.961811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.849117	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.132155	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13327	3772.058632	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.698233	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3721	1053.187527	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1374	388.895367	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	53	15.001059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	1.415194	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.566078	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	8	2.264311	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.566078	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	15	4.245583	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	41	11.604592	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	9.623321	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	35	9.906359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1514	428.520805	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3720	1052.904488	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13518	3826.119051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	948	268.320821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.132155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.415194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.981272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.849117	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112778:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.283039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.283039	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.547350	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	16	4.528621	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	5.943816	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.566078	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	1.415194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	7	1.981272	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	139	39.342399	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3041	860.721115	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1120	317.003502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5623	1591.527402	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3386	958.369515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.849117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.283039	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.283039	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.566078	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.283039	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.566078	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.849117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.283039	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.849117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113742-46113765:+	1	0.283039	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	7	1.981272	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	43	12.170670	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.283039	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	3	0.849117	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.849117	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	19	5.377738	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	45	12.736748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	132	37.361127	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	14	3.962544	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539862:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	155	43.871020	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	638	180.578780	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	666	188.503868	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6497	1838.903349	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	967	273.698559	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	23	6.509893	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	1.132155	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.849117	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539863:+	1	0.283039	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.283039	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539904:+	17	4.811660	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	47	13.302826	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	1.415194	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.283039	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.283039	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178864:+	1	0.283039	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.283039	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	30	8.491165	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	59	16.699292	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	254	71.891866	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	44	12.453709	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	6	1.698233	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.283039	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.283039	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	36	10.189398	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	194	54.909535	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	750	212.279131	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	1.415194	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	6	1.698233	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	40	11.321554	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	2	0.566078	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	1.415194	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	50	14.151942	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	213	60.287273	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1111	314.456152	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	38	10.755476	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	9	2.547350	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.283039	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.283039	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	2	0.566078	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	16	4.528621	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	0.566078	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	6	1.698233	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	13	3.679505	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	338	95.667128	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1418	401.349076	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	6494	1838.054233	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	48	13.585864	N	mature,MIMAT0000067
