miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	1.022097	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.340699	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.340699	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.703495	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	38	12.946558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1091	371.702503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2879	980.872141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16658	5675.362325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	247	84.152629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.362796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	2	0.681398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	2.044193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.340699	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.044193	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	6.132580	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	3.066290	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.681398	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.681398	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.362796	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.703495	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	241	82.108436	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.362796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16483	5615.740017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2863	975.420959	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1083	368.976912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	28	9.539569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.340699	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.340699	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	37	12.605859	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	57	19.419837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	109	37.136180	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	22	7.495376	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1051	358.074547	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2947	1004.039667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16446	5603.134157	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	256	87.218919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	15	5.110484	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.340699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	1.362796	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	2.384892	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	6.473279	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	4.769785	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.681398	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.022097	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.681398	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.340699	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.340699	N	mature,MIMAT0004481
