miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.708227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.992931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.992931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	518	147.476920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13023	3707.706438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	18018	5129.805313	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22659	6451.118803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	496	141.213422	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	31	8.825839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.854113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	2.562340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	18	5.124681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.569409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	4.839976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	42	11.957588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	1.708227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.569409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	3.416454	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	31	8.825839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.569409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	2	0.569409	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.284704	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	6	1.708227	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	40	11.388179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	8.541134	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.708227	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.284704	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.569409	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.284704	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.284704	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.284704	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.847045	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.854113	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.854113	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.284704	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.854113	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	4	1.138818	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	1.138818	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	574	163.420371	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	27	7.687021	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	53	15.089337	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	24	6.832908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22609	6436.883579	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	5	1.423522	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	18	5.124681	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	14	3.985863	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	18183	5176.781553	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	1.708227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13062	3718.809912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.284704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.284704	N	mature,MIMAT0000062
