miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.386606	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	25	4.832571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.512937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.739725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1758	339.826375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	40729	7873.030969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	35177	6799.813656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31373	6064.489690	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	996	192.529619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	67	12.951290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	1.933028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	16	3.092845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	14	2.706240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.579908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.773211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	11	2.126331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	24	4.639268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175988:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	3	0.579908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.579908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.773211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.579908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176012-94176031:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	50	9.665142	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	2.899542	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.579908	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.386606	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.386606	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.193303	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	2.126331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	979	189.243471	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	1.546423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	19	3.672754	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	12	2.319634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31576	6103.730165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	10	1.933028	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	18	3.479451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	35232	6810.445312	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.579908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	12	2.319634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	40503	7829.344529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1785	345.045552	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	4	0.773211	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	2	0.386606	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	4	0.773211	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146578-122146599:-	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	15	2.899542	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.193303	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.193303	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	6	1.159817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	1.159817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	117	22.616431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	8.891930	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	11	2.126331	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1654	319.722881	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	40449	7818.906177	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	35319	6827.262658	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	31612	6110.689067	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	962	185.957323	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	2	0.386606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	12	2.319634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	15	2.899542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	2.512937	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	5	0.966514	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	10	1.933028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	20	3.866057	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	3	0.579908	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	5	0.966514	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	20	3.866057	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.193303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.386606	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.386606	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	50	9.665142	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	17	3.286148	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	0.386606	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112819:+	1	0.193303	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	4	0.773211	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	58	11.211564	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	112	21.649917	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	5142	993.963153	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	48416	9358.949824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10381	2006.676680	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8821	1705.124265	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1728	334.027290	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.193303	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.386606	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	14	2.706240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	7	1.353120	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	7	1.353120	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.193303	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.386606	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.193303	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	1.546423	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	0.966514	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.193303	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	0.773211	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	13	2.512937	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.193303	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113760:+	1	0.193303	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.579908	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	48	9.278536	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	53	10.245050	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.193303	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113747-46113766:+	1	0.193303	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.579908	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	7	1.353120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	2	0.386606	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	4	0.773211	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	318	61.470300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	369	71.328744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	96	18.557072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	44	8.505325	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.579908	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	12317	2380.910959	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	28104	5432.582738	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	10200	1971.688867	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12111	2341.090576	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	725	140.144552	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	1.546423	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	2	0.386606	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	30	5.799085	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.773211	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	16	3.092845	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539858:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	2	0.386606	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	5	0.966514	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	0.773211	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	4	0.773211	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539864:+	1	0.193303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539901:+	1	0.193303	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	10	1.933028	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	1.933028	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	3	0.579908	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	1	0.193303	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178821-94178841:+	1	0.193303	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.193303	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	4	0.773211	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	476	92.012147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	160	30.928453	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	173	33.441390	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	16	3.092845	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.193303	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.386606	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.386606	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	1	0.193303	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	1	0.193303	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.193303	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	4	0.773211	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	4	0.773211	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	13	2.512937	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	557	107.669676	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	412	79.640766	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	349	67.462688	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.193303	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178913:+	1	0.193303	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	52	10.051747	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	18	3.479451	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	38	7.345508	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.193303	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.386606	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	18	3.479451	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	26	5.025874	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	482	93.171964	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	790	152.709236	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	950	183.637689	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	12	2.319634	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.193303	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692813:+	1	0.193303	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.193303	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.193303	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	1	0.193303	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	32	6.185691	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	63	12.178078	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	691	133.572256	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	759	146.716848	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	14401	2783.754057	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	22521	4353.373038	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	30890	5971.124423	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	90	17.397255	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	5	0.966514	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176378:+	1	0.193303	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.193303	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	4	0.773211	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	5	0.966514	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	26	5.025874	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	4	0.773211	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	21	4.059359	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176374:+	4	0.773211	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	5	0.966514	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	18	3.479451	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	9	1.739725	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176428:+	1	0.193303	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	7	1.353120	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	2	0.386606	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.386606	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	4	0.773211	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557199-53557218:-	1	0.193303	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557200-53557224:-	1	0.193303	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	12	2.319634	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557265:-	1	0.193303	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1175	227.130825	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	3	0.579908	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	17	3.286148	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	27	5.219176	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	30706	5935.556702	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	11	2.126331	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	9	1.739725	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	13	2.512937	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	22666	4381.401948	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	15	2.899542	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557265:-	2	0.386606	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	5	0.966514	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	14301	2764.423774	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	17	3.286148	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	748	144.590517	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	660	127.579868	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557269:-	2	0.386606	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	57	11.018261	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	25	4.832571	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557253-53557268:-	4	0.773211	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	4	0.773211	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.193303	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557288:-	2	0.386606	N	precursor
hsa-let-7g	hg38:chr3:52268279-52268301:-	1	0.193303	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	54	10.438353	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	7	1.353120	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268354:-	1	0.193303	N	mature,MIMAT0000414
