miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.331048	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.993144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.993144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.641529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	87	28.801185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3774	1249.375561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4521	1496.668497	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11447	3789.507695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	631	208.891356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	34	11.255636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.993144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	2.648385	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.993144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175989:+	2	0.662096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.662096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.331048	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	3.972577	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	5.958866	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	2.648385	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.993144	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.993144	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.993144	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.331048	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	3.972577	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	612	202.601442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.993144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	1.986289	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11395	3772.293193	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.662096	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.662096	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4505	1491.371728	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3654	1209.649788	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.662096	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	78	25.821752	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.331048	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.331048	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	22	7.283058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	27	8.938299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	8.938299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	78	25.821752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3613	1196.076815	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4452	1473.826178	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11349	3757.064980	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	607	200.946202	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	1.655241	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.662096	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	1.986289	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.331048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112798-46112821:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	15	4.965722	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	6.289914	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	2.317337	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.331048	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	1.655241	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	8	2.648385	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	549	181.745411	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11335	3752.430307	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4163	1378.153275	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12333	4082.816319	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5082	1682.386486	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	11	3.641529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	2.648385	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.993144	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.662096	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.331048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	23	7.614106	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	58	19.200790	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.331048	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.993144	N	mature,MIMAT0000064
