miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.355627	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.355627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.066880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	2.133759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	2.489386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.177813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	614	109.177352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18019	3204.017442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	31839	5661.396933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	49261	8759.259849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2019	359.005007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	83	14.758502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	2.133759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	35	6.223465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	56	9.957544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	1.244693	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.177813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.355627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.355627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	32	5.690025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	70	12.446929	N	mature,MIMAT0000062
