miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.273828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.273828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.369140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	87	23.823033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2405	658.556248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4838	1324.779678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10738	2940.364651	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	232	63.528087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	1.369140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.821484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	1.095312	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.095312	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	1.642968	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	0.547656	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.273828	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.547656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.547656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	217	59.420668	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.547656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10666	2920.649038	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.273828	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.273828	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4941	1352.983958	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2409	659.651559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	73	19.989441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.273828	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.273828	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	21	5.750387	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	8.488667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	23	6.298043	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	86	23.549205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2378	651.162893	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4933	1350.793334	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10752	2944.198243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	226	61.885119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.547656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.273828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.547656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.821484	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	5	1.369140	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	1	0.273828	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.273828	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.273828	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.821484	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	2	0.547656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	210	57.503872	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	2604	713.048012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1067	292.174435	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2030	555.870762	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	268	73.385894	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.273828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	0.821484	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	8	2.190624	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.547656	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.547656	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.821484	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	12	3.285936	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	17	4.655075	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	17	4.655075	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	34	9.310151	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	240	65.718711	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	353	96.661270	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2142	586.539494	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	113	30.942560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.273828	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.273828	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.273828	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	6	1.642968	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.273828	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	96	26.287484	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	63	17.251162	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	102	27.930452	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	5	1.369140	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.273828	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.273828	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.547656	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	34	9.310151	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	76	20.810925	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	99	27.108968	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.273828	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.547656	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.273828	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	6	1.642968	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.273828	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.273828	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.273828	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	3	0.821484	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	11	3.012108	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	241	65.992539	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	885	242.337746	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2468	675.807409	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	63	17.251162	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	5	1.369140	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.273828	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.547656	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	1.369140	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	11	3.012108	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	0.547656	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	3	0.821484	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	34	9.310151	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1189	325.581446	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3295	902.263133	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	9728	2663.798410	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	28	7.667183	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	0.547656	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.547656	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.273828	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.273828	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	5	1.369140	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	0.547656	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	2	0.547656	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176408-94176430:+	2	0.547656	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	3	0.821484	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.273828	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.273828	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	163	44.633958	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.273828	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	9652	2642.987485	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	12	3.285936	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3314	907.465865	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	3	0.821484	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	1203	329.415038	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.273828	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	33	9.036323	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	3	0.821484	N	mature,MIMAT0000067
