miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.481115	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.962230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	1.443345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	8	3.848920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	366	176.088102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1146	551.357827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5497	2644.689332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	207	99.590812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	7.216725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.481115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.481115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	1.924460	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.481115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	1.443345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.481115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176011:+	1	0.481115	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.924460	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	4.811150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	1.924460	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.962230	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.443345	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.481115	N	mature,MIMAT0000062
